proj,chip,experiment,max_reward,min_reward,mean_reward,n_episodes
24-01-07_data,P001237,exp1/exp1_cartpole_long_7,87.0,12.0,28.9,118.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_13,87.0,10.0,16.5,135.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long,86.0,10.0,20.1,146.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_8,86.0,10.0,19.3,125.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_10,86.0,10.0,27.9,101.0
2024-05-06_butterfly,22097,dmso/dmso_cartpole_long_19,86.0,11.0,28.7,99.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_3,86.0,11.0,27.0,102.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_16,85.0,11.0,18.1,129.0
24-03-25_plasticity,p001384,exp2/exp2_cartpole_F_1,85.0,9.0,19.6,200.0
24-03-25_plasticity,p001237,exp3/exp3_cartpole_long_9,84.0,11.0,22.8,113.0
24-01-07_data,P001237,exp2/exp2_cartpole_long_4,84.0,11.0,32.4,109.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_16,84.0,13.0,24.2,131.0
24-01-07_data,P001237,exp1/exp1_cartpole_long,84.0,10.0,21.7,140.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_11,83.0,10.0,19.9,159.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_11,83.0,11.0,25.3,128.0
24-04-18_butterfly,23138,Rl_only2/Rl_only2_cartpole_long_9,83.0,11.0,26.4,104.0
2024-05-30_drugs_cartpole,20264,baseline/baseline_cartpole_long_7,83.0,10.0,18.0,130.0
24-04-18_butterfly,23138,exp1/exp1_cartpole_long_7,82.0,11.0,20.5,120.0
24-03-25_plasticity,p001346,exp1/exp1_cartpole_long_5,82.0,10.0,14.5,192.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_10,82.0,11.0,29.6,115.0
23-11-30_cartpole,22064,long_exp_3/long_exp_3_cartpole_long_20,82.0,10.0,22.6,144.0
24-01-07_data,P001237,exp1/exp1_cartpole_long_4,82.0,11.0,26.3,122.0
